START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
05/25/17,11:05 AM,01:05 PM,Rockies at Phillies,Citizens Bank Park - Philadelphia,"",05/25/17,05/25/17,02:05 PM,04:05 PM,FALSE,TRUE,05/25/17,10:05 AM,12:05 PM,FREE,BUSY
05/26/17,06:40 PM,08:40 PM,Cardinals at Rockies,Coors Field - Denver,"",05/26/17,05/26/17,09:40 PM,11:40 PM,FALSE,TRUE,05/26/17,05:40 PM,07:40 PM,FREE,BUSY
05/27/17,07:10 PM,09:10 PM,Cardinals at Rockies,Coors Field - Denver,"",05/27/17,05/28/17,10:10 PM,12:10 AM,FALSE,TRUE,05/27/17,06:10 PM,08:10 PM,FREE,BUSY
05/28/17,01:10 PM,03:10 PM,Cardinals at Rockies,Coors Field - Denver,"",05/28/17,05/28/17,04:10 PM,06:10 PM,FALSE,TRUE,05/28/17,12:10 PM,02:10 PM,FREE,BUSY
05/29/17,01:10 PM,03:10 PM,Mariners at Rockies,Coors Field - Denver,"",05/29/17,05/29/17,04:10 PM,06:10 PM,FALSE,TRUE,05/29/17,12:10 PM,02:10 PM,FREE,BUSY
05/30/17,05:10 PM,07:10 PM,Mariners at Rockies,Coors Field - Denver,"",05/30/17,05/30/17,08:10 PM,10:10 PM,FALSE,TRUE,05/30/17,04:10 PM,06:10 PM,FREE,BUSY
05/31/17,08:10 PM,10:10 PM,Rockies at Mariners,Safeco Field - Seattle,"",05/31/17,06/01/17,11:10 PM,01:10 AM,FALSE,TRUE,05/31/17,07:10 PM,09:10 PM,FREE,BUSY
06/01/17,01:40 PM,03:40 PM,Rockies at Mariners,Safeco Field - Seattle,"",06/01/17,06/01/17,04:40 PM,06:40 PM,FALSE,TRUE,06/01/17,12:40 PM,02:40 PM,FREE,BUSY
06/02/17,08:10 PM,10:10 PM,Rockies at Padres,Petco Park - San Diego,"",06/02/17,06/03/17,11:10 PM,01:10 AM,FALSE,TRUE,06/02/17,07:10 PM,09:10 PM,FREE,BUSY
06/03/17,02:10 PM,04:10 PM,Rockies at Padres,Petco Park - San Diego,"",06/03/17,06/03/17,05:10 PM,07:10 PM,FALSE,TRUE,06/03/17,01:10 PM,03:10 PM,FREE,BUSY
06/04/17,02:40 PM,04:40 PM,Rockies at Padres,Petco Park - San Diego,"",06/04/17,06/04/17,05:40 PM,07:40 PM,FALSE,TRUE,06/04/17,01:40 PM,03:40 PM,FREE,BUSY
